# enumeration of this host's checkouts of this repository before judging (jharv3)
#host	clone	checkout	branch	head
8HD-6	/home/reyerchu/vibe-ic	/tmp/claude-1000/-home-reyerchu-vibe-ic/0144f922-cbe4-48a4-937e-a5e723ca0cec/scratchpad/wt-base	(detached)	867de4289
8HD-6	/home/reyerchu/vibe-ic	/tmp/claude-1000/-home-reyerchu-vibe-ic/0144f922-cbe4-48a4-937e-a5e723ca0cec/scratchpad/wt-ppa	jwire/ppa-wiring	c7f34a982
8HD-6	/home/reyerchu/vibe-ic	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt	(detached)	0aa57229f
8HD-6	/home/reyerchu/vibe-ic	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt2	(detached)	b6bb7de63
8HD-6	/home/reyerchu/vibe-ic	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt3	(detached)	8342b9a63
8HD-6	/home/reyerchu/vibe-ic-shard	/home/reyerchu/vibe-ic-shard	main	2efa6af35
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/regen_36db60639	(detached)	36db60639
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/regen_4e51c4853	(detached)	4e51c4853
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_2efa6af35be69b409bfe9c95026e5c0a03ba56bf_1	(detached)	2efa6af35
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_36db60639da89dd18d116363049c9c23bb05f259_1	(detached)	36db60639
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_3850b444c5654f66f4d6d9a3df3f3c03bde2e877_1	(detached)	3850b444c
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_6a092da303c282cf9bab4fdfe48d0b0b985c3dce_1	(detached)	6a092da30
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_772c31dcb41a1625bf1c69832628722958752cb9_1	(detached)	772c31dcb
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_8172cb0b675051e6e8122a5cc6a3e0dc9ebf64c6_1	(detached)	8172cb0b6
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_9a6c0f0b034ea9d73bc4bc6c661aae7b87fa6f0d_1	(detached)	9a6c0f0b0
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_b486b862c7a0eb1eb4354b7b6bd4c8cf7dea5740_1	(detached)	b486b862c
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_c5d7f2d00e1df23c35a8e289bc1dc3d29b62eee9_1	(detached)	c5d7f2d00
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_c8c2ab0f750efe97b5804f1bf41c279d28e4d2e5_1	(detached)	c8c2ab0f7
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_e20d37fd49abd4775ddd7b32450c9226847f91cb_1	(detached)	e20d37fd4
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_ee849c19e4208b0c2e22795b9a02a5d08210c270_1	(detached)	ee849c19e
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/sp_ee849c19e	(detached)	ee849c19e
8HD-6	/home/reyerchu/.claude/plugins/marketplaces/vibe-ic-marketplace	/home/reyerchu/.claude/plugins/marketplaces/vibe-ic-marketplace	main	74ac9fa78
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/base-mml	jmatrix/63x8-main-reds	3ab7fc723
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/mut-arm	jmatrix/63x8-main-reds	3ab7fc723
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert1	jfindings/63x8-remaining	78ffef90a
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert2	jfindings/63x8-remaining	78ffef90a
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert3	jfindings/63x8-remaining	78ffef90a
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert4	jfindings/63x8-remaining	78ffef90a
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert5	jfindings/63x8-remaining	78ffef90a
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert6	jfindings/63x8-remaining	78ffef90a
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert-b	jfindings/63x8-producer-identity	ec46ce1e6
8HD-6	/home/reyerchu/_jppa_power/tree	/home/reyerchu/_jppa_power/base	(detached)	867de4289
8HD-6	/home/reyerchu/_jppa_power/tree	/home/reyerchu/_jppa_power/tree	jppa-power	8b6c27385
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt/b68-base-hy	meas/batch68-jmeas3	8db6669bb
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt-j63x8c	jmatrix/63x8-main-reds	3ab7fc723
