# shard C = every git checkout of this repository on host 8HD-6, judged by jharv3 by CONTENT against origin/main a00f53f2094 (v1.11.66)
# SNAPSHOT as of 2026-08-21T17:45:36Z. This host is LIVE: run bin/recheck_drift.sh before acting on any row.
# verdict is the DECISION only. Nothing was deleted; deleting is the owner-s call.
#host	clone	checkout	branch	head	verdict	class	own	differ	novel	superseded	trk	unt	volatile
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_i1410	fix/1410-replay-plan-has-no-aggregate-bound	8033c7ded	KEEP	KEEP_NOVEL_CONTENT	2	2	1	1	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_i1704	(detached)	1a8c180c7	KEEP	KEEP_NOVEL_CONTENT	11	3	2	1	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_jcapture	agent/jcapture-bucket-a-gates	b6aaf6608	KEEP	KEEP_NOVEL_CONTENT	16	16	16	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_jfeas	agent/jppafeas-feasibility-producers	b7698b9d6	KEEP	KEEP_NOVEL_CONTENT	17	7	6	1	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_jfeas_base	(detached)	e36d81c0a	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_jppa_closure/base	(detached)	867de4289	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_jppa_closure/tree	agent/jppa-closure	fe08aed03	KEEP	KEEP_NOVEL_CONTENT	8	1	1	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_jppa_fixtures/base	(detached)	867de4289	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_jppa_fixtures/tree	agent/jppa-fixtures	0dc3e9e7f	DROP	DROP_ALL_FILES_MATCH	32	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_pg_1523v	(detached)	5814140f4	KEEP	KEEP_NOVEL_CONTENT	111	66	57	6	1	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_pg_1613	(detached)	94a991e5d	KEEP	KEEP_NOVEL_CONTENT	39	15	7	8	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_pg_IDX	_pg_IDX	989eac032	KEEP	KEEP_NOVEL_CONTENT	123	83	69	11	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_pg_VD	_pg_VD	2ba4d5d6c	KEEP	KEEP_NOVEL_CONTENT	41	36	30	2	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_pg_W2	_pg_W2	686a39969	KEEP	KEEP_NOVEL_CONTENT	14	13	10	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_pg_bigbatch	(detached)	2cfa8505f	KEEP	KEEP_NOVEL_CONTENT	319	164	141	19	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_pg_bo	fix/1070-tripwire-left-red-after-a1-gained-its-edge	6ddf9595d	KEEP	KEEP_NOVEL_CONTENT	1	1	1	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_pg_d8	fix/d8-real-gate-tier-population-gained-step4	f059b4c81	KEEP	KEEP_NOVEL_CONTENT	1	1	1	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_spad	(detached)	b767007ac	KEEP	KEEP_NOVEL_CONTENT	6	4	4	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_spmfinal_8HD-6	mg/gfinal-8hd6	70b66ad07	KEEP	KEEP_NOVEL_CONTENT	4	3	3	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_tim_priv/wt-jsetup-base	(detached)	69ce9260d	KEEP	KEEP_UNCOMMITTED_UNTRACKED	0	0	0	0	0	2	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_tim_priv/wt-jsetup-timing	fix/setup-timing	66085fbf5	KEEP	KEEP_NOVEL_CONTENT	4	4	3	1	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_v1123	pr1123	f2bc39fd5	KEEP	KEEP_UNCOMMITTED_STAGED_TREE	0	0	0	0	384	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/basejm9	(detached)	8a9c5ad9e	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt-jf63x8b	jfindings/63x8-producer-identity	ec46ce1e6	KEEP	KEEP_NOVEL_CONTENT	13	3	1	2	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt-jfindings-63x8	jfindings/63x8-remaining	78ffef90a	KEEP	KEEP_NOVEL_CONTENT	9	2	2	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt-jm9	jm9/rebased	509f10d85	KEEP	KEEP_NOVEL_CONTENT	16	2	2	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt-jw1-tapeout	agent/jw1-tapeout-readiness	a48ad8b78	KEEP	KEEP_NOVEL_CONTENT	3	3	3	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt-jw2-extract-err	fix/jw2-extraction-error-channel-unread	d8af5ec15	KEEP	KEEP_NOVEL_CONTENT	4	4	4	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt-jw2-scratch-revert	(detached)	64452a3fb	KEEP	KEEP_NOVEL_CONTENT	4	4	4	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt-main62	(detached)	6dfe15a32	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/tmp/claude-1000/-home-reyerchu-vibe-ic/0144f922-cbe4-48a4-937e-a5e723ca0cec/scratchpad/wt-base	(detached)	867de4289	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/tmp/claude-1000/-home-reyerchu-vibe-ic/0144f922-cbe4-48a4-937e-a5e723ca0cec/scratchpad/wt-ppa	jwire/ppa-wiring	c7f34a982	KEEP	KEEP_NOVEL_CONTENT	5	5	2	3	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt	(detached)	0aa57229f	KEEP	KEEP_NOVEL_CONTENT	12	7	7	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt2	(detached)	b6bb7de63	KEEP	KEEP_NOVEL_CONTENT	68	22	19	3	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt3	(detached)	8342b9a63	KEEP	KEEP_NOVEL_CONTENT	16	7	6	1	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/home/reyerchu/vibe-ic-shard	main	2efa6af35	DROP	DROP_ALL_FILES_MATCH_TREE_EMPTIED	0	0	0	0	21951	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/regen_36db60639	(detached)	36db60639	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/regen_4e51c4853	(detached)	4e51c4853	KEEP	KEEP_UNCOMMITTED_MODIFIED	0	0	0	0	1	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_2efa6af35be69b409bfe9c95026e5c0a03ba56bf_1	(detached)	2efa6af35	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_36db60639da89dd18d116363049c9c23bb05f259_1	(detached)	36db60639	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_3850b444c5654f66f4d6d9a3df3f3c03bde2e877_1	(detached)	3850b444c	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_6a092da303c282cf9bab4fdfe48d0b0b985c3dce_1	(detached)	6a092da30	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_772c31dcb41a1625bf1c69832628722958752cb9_1	(detached)	772c31dcb	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_8172cb0b675051e6e8122a5cc6a3e0dc9ebf64c6_1	(detached)	8172cb0b6	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_9a6c0f0b034ea9d73bc4bc6c661aae7b87fa6f0d_1	(detached)	9a6c0f0b0	KEEP	KEEP_NOVEL_CONTENT	635	2	2	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_b486b862c7a0eb1eb4354b7b6bd4c8cf7dea5740_1	(detached)	b486b862c	KEEP	KEEP_NOVEL_CONTENT	23	20	16	4	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_c5d7f2d00e1df23c35a8e289bc1dc3d29b62eee9_1	(detached)	c5d7f2d00	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_c8c2ab0f750efe97b5804f1bf41c279d28e4d2e5_1	(detached)	c8c2ab0f7	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_e20d37fd49abd4775ddd7b32450c9226847f91cb_1	(detached)	e20d37fd4	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/shard_ee849c19e4208b0c2e22795b9a02a5d08210c270_1	(detached)	ee849c19e	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic-shard	/tmp/sp_ee849c19e	(detached)	ee849c19e	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/.claude/plugins/marketplaces/vibe-ic-marketplace	/home/reyerchu/.claude/plugins/marketplaces/vibe-ic-marketplace	main	74ac9fa78	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/base-mml	jmatrix/63x8-main-reds	3ab7fc723	KEEP	KEEP_NOVEL_CONTENT	9	9	9	0	1640	10	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/mut-arm	jmatrix/63x8-main-reds	3ab7fc723	KEEP	KEEP_NOVEL_CONTENT	9	9	9	0	1640	10	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert1	jfindings/63x8-remaining	78ffef90a	KEEP	KEEP_NOVEL_CONTENT	9	2	2	0	49	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert2	jfindings/63x8-remaining	78ffef90a	KEEP	KEEP_NOVEL_CONTENT	9	2	2	0	47	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert3	jfindings/63x8-remaining	78ffef90a	KEEP	KEEP_NOVEL_CONTENT	9	2	2	0	46	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert4	jfindings/63x8-remaining	78ffef90a	KEEP	KEEP_NOVEL_CONTENT	9	2	2	0	47	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert5	jfindings/63x8-remaining	78ffef90a	KEEP	KEEP_NOVEL_CONTENT	9	2	2	0	45	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert6	jfindings/63x8-remaining	78ffef90a	KEEP	KEEP_NOVEL_CONTENT	9	2	2	0	42	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/jf-63x8-work/revert-b	jfindings/63x8-producer-identity	ec46ce1e6	KEEP	KEEP_NOVEL_CONTENT	13	3	1	2	7	0	no
8HD-6	/home/reyerchu/_jppa_power/tree	/home/reyerchu/_jppa_power/base	(detached)	867de4289	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/_jppa_power/tree	/home/reyerchu/_jppa_power/tree	jppa-power	8b6c27385	KEEP	KEEP_NOVEL_CONTENT	5	1	1	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt/b68-base-hy	(detached)	a00f53f20	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	yes
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt/b68-base-py	(detached)	a00f53f20	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	yes
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt/b68-head-hy	(detached)	37769d59e	KEEP	KEEP_NOVEL_CONTENT	48	48	48	0	0	0	yes
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt/b68-head-py	(detached)	37769d59e	KEEP	KEEP_NOVEL_CONTENT	48	48	48	0	0	0	yes
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt/b68-head-vfy	(detached)	3c3c51aee	KEEP	KEEP_NOVEL_CONTENT	48	48	48	0	0	0	yes
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/wt-j63x8c	jmatrix/63x8-main-reds	3ab7fc723	KEEP	KEEP_NOVEL_CONTENT	9	9	9	0	0	0	yes
8HD-6	/tmp/codex-fixall.m9SimJ/repo	/tmp/codex-fixall.m9SimJ/repo	(detached)	66f381776	KEEP	KEEP_NOVEL_SEPARATE_HISTORY	41	18	15	3	3	0	no
8HD-6	/home/reyerchu/gkaudit_mainck	/home/reyerchu/gkaudit_mainck	(detached)	ef4e6bcc4	DROP	DROP_TREE_IS_A_TREE_MAIN_PUBLISHED	0	0	0	0	0	0	no
