path	current_verdict	judged_head	content	tracked_files	paths_differing_from_tip	paths_main_never_held	disk_state	example_novel_paths
/home/reyerchu/advA	RECOVER	8e73566a76c413ff3d1d29e748965a3fa941798a	HOLDS_CONTENT_MAIN_NEVER_HAD	4685	249	5	uall=0 mod=0 head=8e73566a76c413ff3d1d29e748965a3fa941798a	vibe-ic-marketplace/plugins/vibe-ic/programs/checker_execution_wiring_audit.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/conftest.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_checker_execution_wiring_audit.py
/home/reyerchu/advC	RECOVER	d8bc700e82a7ec5923330864bc468cac1a3c1578	HOLDS_CONTENT_MAIN_NEVER_HAD	4683	258	6	uall=0 mod=0 head=d8bc700e82a7ec5923330864bc468cac1a3c1578	tools/ci/gatekeeper_status_poller.py,tools/ci/test_gatekeeper_land_round_exclusivity.py,tools/ci/test_gatekeeper_status_poller.py
/home/reyerchu/advD	RECOVER	84c3c14bbc4377a3f1367370028dae76f9b9501f	HOLDS_CONTENT_MAIN_NEVER_HAD	4683	257	1	uall=0 mod=0 head=84c3c14bbc4377a3f1367370028dae76f9b9501f	vibe-ic-marketplace/plugins/vibe-ic/programs/adv_planted_untested_program.py
/home/reyerchu/vibe-ic-wt-caravel-final	RECOVER	1a53aba6dc8e51548db59be732d02e73cbd109f0	CONTENT_REACHED_MAIN	19684	17321	0	uall=0 mod=0 head=1a53aba6dc8e51548db59be732d02e73cbd109f0	
/home/reyerchu/vibe-ic-wt-caravel-rerun	RECOVER	8a4211ed355bb9418758a0848d88fad081bf9b79	CONTENT_REACHED_MAIN	19683	17320	0	uall=1 mod=1 head=8a4211ed355bb9418758a0848d88fad081bf9b79	
/home/reyerchu/_advVD/wtB	RECOVER	23592ff4f493a42571adb477937681d7c6acf367	HOLDS_CONTENT_MAIN_NEVER_HAD	4685	246	2	uall=0 mod=0 head=23592ff4f493a42571adb477937681d7c6acf367	vibe-ic-marketplace/plugins/vibe-ic/programs/_pytest_progress_plugin.py,vibe-ic-marketplace/plugins/vibe-ic/programs/pytest_per_file_junit.py
/home/reyerchu/_agentjob_i1424/reb	RECOVER	caca22fabfe452f4239aa4a4d5a1eaf32fcf9200	HOLDS_CONTENT_MAIN_NEVER_HAD	21925	17735	8	uall=0 mod=0 head=caca22fabfe452f4239aa4a4d5a1eaf32fcf9200	tools/ci/_gate_dispatch.sh,tools/gatekeeper-land.sh,vibe-ic-marketplace/plugins/vibe-ic/programs/INDEX.md
/home/reyerchu/_gk1347	RECOVER	6568bad097556858396aa82328f938291668bc66	HOLDS_CONTENT_MAIN_NEVER_HAD	4726	208	4	uall=0 mod=0 head=6568bad097556858396aa82328f938291668bc66	vibe-ic-marketplace/plugins/vibe-ic/programs/checker_execution_wiring_audit.py,vibe-ic-marketplace/plugins/vibe-ic/programs/checker_execution_wiring_baseline.json,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_issue1347_a_name_in_a_sentence_is_not_a_runner.py
/home/reyerchu/_jppa_prscope/mut	LANDED	02405e0ee001bda8efa146bfb29b6bd068b660f0	CONTENT_REACHED_MAIN	4863	159	0	uall=0 mod=0 head=02405e0ee001bda8efa146bfb29b6bd068b660f0	
/home/reyerchu/_wt_1621	RECOVER	c2c2672dc143eb189cf951d89ca14a3efb15f12e	HOLDS_CONTENT_MAIN_NEVER_HAD	21922	17732	1	uall=0 mod=0 head=c2c2672dc143eb189cf951d89ca14a3efb15f12e	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_matrix_d3_outputs_produced.py
