host	path	guard	measured_against_main	method	detail
102	/home/reyerchu/_wt_sta_axis	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/vibe-ic-wt-a857c45b	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/vibe-ic-wt-a857c45b-lvspf	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/vibe-ic-wt-l9v-r5	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/vibe-ic-wt-l9v-r5mut	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/vibe-ic-wt-vfy5-base	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu/691e69d7-966a-4255-b3d1-7ac15b922980/scratchpad/W1	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu/691e69d7-966a-4255-b3d1-7ac15b922980/scratchpad/W4	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu/691e69d7-966a-4255-b3d1-7ac15b922980/scratchpad/W5	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu/748ae94a-373e-4990-b283-1800a51f034f/scratchpad/ab_base	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu/748ae94a-373e-4990-b283-1800a51f034f/scratchpad/ab_head	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu/748ae94a-373e-4990-b283-1800a51f034f/scratchpad/ab_probe	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu/748ae94a-373e-4990-b283-1800a51f034f/scratchpad/f63_rb	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu/748ae94a-373e-4990-b283-1800a51f034f/scratchpad/img_rb	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu/748ae94a-373e-4990-b283-1800a51f034f/scratchpad/self_wt	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu/748ae94a-373e-4990-b283-1800a51f034f/scratchpad/tim_rb	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/wt_ctrl	SAFE	a4caccefeab	reverse-apply	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/_c_car11_scratch/vic	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/_jmg2/vibe-ic-jmg2	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/_meas_base_tests	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/prcheck161/main	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/prcheck161/pr	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/prcheck161/repo	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/prcheck161/w1	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/prcheck161/w2	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/prcheck161/w3	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/prcheck161/w4	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/prcheck161/w5	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/prcheck161/w6	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/vibe-ic-wt-1528-baseline	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/vibe-ic-wt-a857c45b-gconn	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/vibe-ic-wt-ibex-fix-lec-multiroot-gatetop-ibex	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/vibe-ic-wt-sha256-corner	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/vibe-ic-wt-sha256-repair	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/vibe-ic-wt-sha256-sta	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/wt-capture-preflight	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/home/reyerchu/wt-sha256-1666	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/js_ee849c19e	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/shard_2efa6af35be69b409bfe9c95026e5c0a03ba56bf_0	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/shard_36db60639da89dd18d116363049c9c23bb05f259_0	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/shard_3850b444c5654f66f4d6d9a3df3f3c03bde2e877_0	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/shard_6a092da303c282cf9bab4fdfe48d0b0b985c3dce_0	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/shard_772c31dcb41a1625bf1c69832628722958752cb9_0	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/shard_8172cb0b675051e6e8122a5cc6a3e0dc9ebf64c6_0	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/shard_a4e2228eb581068976f8141c76787b4c8b8f5c2d_0	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/shard_c5d7f2d00e1df23c35a8e289bc1dc3d29b62eee9_0	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/shard_c8c2ab0f750efe97b5804f1bf41c279d28e4d2e5_0	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/shard_e20d37fd49abd4775ddd7b32450c9226847f91cb_0	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/shard_ee849c19e4208b0c2e22795b9a02a5d08210c270_0	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/t2b_a/fresh	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/tmp.vAZSkgSVzY/vibe-ic	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/var/tmp/jmg2base/vibe-ic	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/var/tmp/tier-nohome/vibe-ic	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/var/tmp/tier-nohome2/vibe-ic	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/.codex/.tmp/marketplaces/.staging/marketplace-upgrade-WiJcVG	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_base_check/repo	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_gk/repo	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_impl_deferred-gate-skip-by-ownership	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_impl_sdc-io-role-split-surface	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_landppa_base	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_pr_conflict/repo	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf871_main	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf871_mb	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_ae_a-control-that-collected-nothing_866v	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_ae_a-stated-justification-must-be-checkable_v871	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_cap_blocker-list-beside-the-tally/verify_main	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_cap_completeness-claim-names-its-property/mainonly	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_cap_design-hash-beside-the-tally/repo	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_cap_design-hash-beside-the-tally/wt_main	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_cap_empty-record-cannot-erase/verify/fresh	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_cap_empty-record-cannot-erase/verify/wt_main	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_scratch_adv_silence_lens_823/repo	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_scratch_adv_silence_lens_823/wt_base	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_scratch_ctrlint_8hd7/wt_basetests	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_scratch_fp_lens_a857/repo	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_scratch_pdnrefusal_8hd7/base	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_scratch_regress_lens_8hd7/repo	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_scratch_regress_lens_8hd7/wt_base	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/home/reyerchu/_wf_scratch_regress_lens_8hd7/wt_neg	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/chk6v	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu-openclaw-zero-token/a857c45b-74d8-40b3-ba4f-eba088c7aa84/scratchpad/base_head	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu-openclaw-zero-token/a857c45b-74d8-40b3-ba4f-eba088c7aa84/scratchpad/head_wt	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu-openclaw-zero-token/a857c45b-74d8-40b3-ba4f-eba088c7aa84/scratchpad/main_tree	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu-openclaw-zero-token/a857c45b-74d8-40b3-ba4f-eba088c7aa84/scratchpad/v801/main	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu-openclaw-zero-token/e49faab7-116d-4ecc-924a-df7c78349e31/scratchpad/T_main	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu-openclaw-zero-token/e49faab7-116d-4ecc-924a-df7c78349e31/scratchpad/T_prefix	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu-openclaw-zero-token/e49faab7-116d-4ecc-924a-df7c78349e31/scratchpad/adj	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu-openclaw-zero-token/e49faab7-116d-4ecc-924a-df7c78349e31/scratchpad/vibe-ic-repo	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu-openclaw-zero-token/e49faab7-116d-4ecc-924a-df7c78349e31/scratchpad/vibeic-main	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/-home-reyerchu-openclaw-zero-token/e49faab7-116d-4ecc-924a-df7c78349e31/scratchpad/wt1703	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/claude-1000/land	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/sumvic	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/verif865_wt/main_clean	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/verif865_wt/newmain	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/verif870/wt_main	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/viceic	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/wf866v/main	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
102	/tmp/wt1417/repo	SAFE	a4caccefeab	reverse-apply (clone fetched FORWARD first)	change_contained_in_main uncommitted_differing=0 vs a4caccefeab
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/d3_1519	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=0, all 0 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/f16	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=2, all 2 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/u03	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=2, all 2 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/v-pr	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/w1251	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=2, all 2 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/w1305	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/w1371	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/w1392	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/w1406	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/w1409	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/w1487	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/w1490	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/5c50bc52-6d94-42f0-8ece-c167ecc44c1f/scratchpad/wt-1355	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/wt-1406	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/wt-1409	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/wt-36	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/35c2a38d-bdf0-4053-86c3-6a3e40b2df7f/scratchpad/x1418	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=2, all 2 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/5c50bc52-6d94-42f0-8ece-c167ecc44c1f/scratchpad/w48	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/5c50bc52-6d94-42f0-8ece-c167ecc44c1f/scratchpad/wt-1295	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=0, all 0 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/5c50bc52-6d94-42f0-8ece-c167ecc44c1f/scratchpad/wt-1295r	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=0, all 0 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/5c50bc52-6d94-42f0-8ece-c167ecc44c1f/scratchpad/wt-1332	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=2, all 2 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/5c50bc52-6d94-42f0-8ece-c167ecc44c1f/scratchpad/wt-1343	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/5c50bc52-6d94-42f0-8ece-c167ecc44c1f/scratchpad/wt-1350	SAFE	a4caccefeab	pruned checkout: no git dir, so compared file-by-file to the main commit its manifest identifies, then every differing file checked against main's history	files differing from base=1, all 1 found on main
