# jharv3 / host 108 (8HD-6) verdicts for shard C. Key on (host, path).
# CONTENT verdicts vs origin/main a00f53f2094 (v1.11.66). Snapshot 2026-08-21T17:45:36Z.
# All 30 shard-C rows on host 108 are here, plus 59 checkouts the shard list did not name.
host	path	repo	head	branch	verdict	class	own	differ	novel	volatile
108	/home/reyerchu/_gk1744	/home/reyerchu/vibe-ic	c38815f73	(detached)	KEEP	KEEP_NOVEL_CONTENT	24	6	4	no
108	/home/reyerchu/_gkpr1759	/home/reyerchu/vibe-ic	f50573cbe	gk1759	KEEP	KEEP_NOVEL_CONTENT	15	12	9	no
108	/home/reyerchu/_green	/home/reyerchu/vibe-ic	5935ae020	(detached)	KEEP	KEEP_NOVEL_CONTENT	4	3	2	no
108	/home/reyerchu/_gsplit	/home/reyerchu/vibe-ic	81799d312	measure/gsplit-seal-ring-drc	DROP	DROP_ALL_FILES_MATCH	1	0	0	no
108	/home/reyerchu/_gsw_green	/home/reyerchu/vibe-ic	5935ae020	(detached)	KEEP	KEEP_NOVEL_CONTENT	4	3	2	no
108	/home/reyerchu/_i1348	/home/reyerchu/vibe-ic	b74d5d0a4	(detached)	KEEP	KEEP_NOVEL_CONTENT	4	4	4	no
108	/home/reyerchu/_i1410	/home/reyerchu/vibe-ic	8033c7ded	fix/1410-replay-plan-has-no-aggregate-bound	KEEP	KEEP_NOVEL_CONTENT	2	2	1	no
108	/home/reyerchu/_i1704	/home/reyerchu/vibe-ic	1a8c180c7	(detached)	KEEP	KEEP_NOVEL_CONTENT	11	3	2	no
108	/home/reyerchu/_jcapture	/home/reyerchu/vibe-ic	b6aaf6608	agent/jcapture-bucket-a-gates	KEEP	KEEP_NOVEL_CONTENT	16	16	16	no
108	/home/reyerchu/_jfeas	/home/reyerchu/vibe-ic	b7698b9d6	agent/jppafeas-feasibility-producers	KEEP	KEEP_NOVEL_CONTENT	17	7	6	no
108	/home/reyerchu/_jfeas_base	/home/reyerchu/vibe-ic	e36d81c0a	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/home/reyerchu/_jppa_closure/base	/home/reyerchu/vibe-ic	867de4289	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/home/reyerchu/_jppa_closure/tree	/home/reyerchu/vibe-ic	fe08aed03	agent/jppa-closure	KEEP	KEEP_NOVEL_CONTENT	8	1	1	no
108	/home/reyerchu/_jppa_fixtures/base	/home/reyerchu/vibe-ic	867de4289	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/home/reyerchu/_jppa_fixtures/tree	/home/reyerchu/vibe-ic	0dc3e9e7f	agent/jppa-fixtures	DROP	DROP_ALL_FILES_MATCH	32	0	0	no
108	/home/reyerchu/_pg_1523v	/home/reyerchu/vibe-ic	5814140f4	(detached)	KEEP	KEEP_NOVEL_CONTENT	111	66	57	no
108	/home/reyerchu/_pg_1613	/home/reyerchu/vibe-ic	94a991e5d	(detached)	KEEP	KEEP_NOVEL_CONTENT	39	15	7	no
108	/home/reyerchu/_pg_IDX	/home/reyerchu/vibe-ic	989eac032	_pg_IDX	KEEP	KEEP_NOVEL_CONTENT	123	83	69	no
108	/home/reyerchu/_pg_VD	/home/reyerchu/vibe-ic	2ba4d5d6c	_pg_VD	KEEP	KEEP_NOVEL_CONTENT	41	36	30	no
108	/home/reyerchu/_pg_W2	/home/reyerchu/vibe-ic	686a39969	_pg_W2	KEEP	KEEP_NOVEL_CONTENT	14	13	10	no
108	/home/reyerchu/_pg_bigbatch	/home/reyerchu/vibe-ic	2cfa8505f	(detached)	KEEP	KEEP_NOVEL_CONTENT	319	164	141	no
108	/home/reyerchu/_pg_bo	/home/reyerchu/vibe-ic	6ddf9595d	fix/1070-tripwire-left-red-after-a1-gained-its-edge	KEEP	KEEP_NOVEL_CONTENT	1	1	1	no
108	/home/reyerchu/_pg_d8	/home/reyerchu/vibe-ic	f059b4c81	fix/d8-real-gate-tier-population-gained-step4	KEEP	KEEP_NOVEL_CONTENT	1	1	1	no
108	/home/reyerchu/_spad	/home/reyerchu/vibe-ic	b767007ac	(detached)	KEEP	KEEP_NOVEL_CONTENT	6	4	4	no
108	/home/reyerchu/_spmfinal_8HD-6	/home/reyerchu/vibe-ic	70b66ad07	mg/gfinal-8hd6	KEEP	KEEP_NOVEL_CONTENT	4	3	3	no
108	/home/reyerchu/_tim_priv/wt-jsetup-base	/home/reyerchu/vibe-ic	69ce9260d	(detached)	KEEP	KEEP_UNCOMMITTED_UNTRACKED	0	0	0	no
108	/home/reyerchu/_tim_priv/wt-jsetup-timing	/home/reyerchu/vibe-ic	66085fbf5	fix/setup-timing	KEEP	KEEP_NOVEL_CONTENT	4	4	3	no
108	/home/reyerchu/_v1123	/home/reyerchu/vibe-ic	f2bc39fd5	pr1123	KEEP	KEEP_UNCOMMITTED_STAGED_TREE	0	0	0	no
108	/home/reyerchu/jf-63x8-work/basejm9	/home/reyerchu/vibe-ic	8a9c5ad9e	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/home/reyerchu/wt-jf63x8b	/home/reyerchu/vibe-ic	ec46ce1e6	jfindings/63x8-producer-identity	KEEP	KEEP_NOVEL_CONTENT	13	3	1	no
108	/home/reyerchu/wt-jfindings-63x8	/home/reyerchu/vibe-ic	78ffef90a	jfindings/63x8-remaining	KEEP	KEEP_NOVEL_CONTENT	9	2	2	no
108	/home/reyerchu/wt-jm9	/home/reyerchu/vibe-ic	509f10d85	jm9/rebased	KEEP	KEEP_NOVEL_CONTENT	16	2	2	no
108	/home/reyerchu/wt-jw1-tapeout	/home/reyerchu/vibe-ic	a48ad8b78	agent/jw1-tapeout-readiness	KEEP	KEEP_NOVEL_CONTENT	3	3	3	no
108	/home/reyerchu/wt-jw2-extract-err	/home/reyerchu/vibe-ic	d8af5ec15	fix/jw2-extraction-error-channel-unread	KEEP	KEEP_NOVEL_CONTENT	4	4	4	no
108	/home/reyerchu/wt-jw2-scratch-revert	/home/reyerchu/vibe-ic	64452a3fb	(detached)	KEEP	KEEP_NOVEL_CONTENT	4	4	4	no
108	/home/reyerchu/wt-main62	/home/reyerchu/vibe-ic	6dfe15a32	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/0144f922-cbe4-48a4-937e-a5e723ca0cec/scratchpad/wt-base	/home/reyerchu/vibe-ic	867de4289	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/0144f922-cbe4-48a4-937e-a5e723ca0cec/scratchpad/wt-ppa	/home/reyerchu/vibe-ic	c7f34a982	jwire/ppa-wiring	KEEP	KEEP_NOVEL_CONTENT	5	5	2	no
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt	/home/reyerchu/vibe-ic	0aa57229f	(detached)	KEEP	KEEP_NOVEL_CONTENT	12	7	7	no
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt2	/home/reyerchu/vibe-ic	b6bb7de63	(detached)	KEEP	KEEP_NOVEL_CONTENT	68	22	19	no
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt3	/home/reyerchu/vibe-ic	8342b9a63	(detached)	KEEP	KEEP_NOVEL_CONTENT	16	7	6	no
108	/home/reyerchu/vibe-ic-shard	/home/reyerchu/vibe-ic-shard	2efa6af35	main	DROP	DROP_ALL_FILES_MATCH_TREE_EMPTIED	0	0	0	no
108	/tmp/regen_36db60639	/home/reyerchu/vibe-ic-shard	36db60639	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/regen_4e51c4853	/home/reyerchu/vibe-ic-shard	4e51c4853	(detached)	KEEP	KEEP_UNCOMMITTED_MODIFIED	0	0	0	no
108	/tmp/shard_2efa6af35be69b409bfe9c95026e5c0a03ba56bf_1	/home/reyerchu/vibe-ic-shard	2efa6af35	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/shard_36db60639da89dd18d116363049c9c23bb05f259_1	/home/reyerchu/vibe-ic-shard	36db60639	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/shard_3850b444c5654f66f4d6d9a3df3f3c03bde2e877_1	/home/reyerchu/vibe-ic-shard	3850b444c	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/shard_6a092da303c282cf9bab4fdfe48d0b0b985c3dce_1	/home/reyerchu/vibe-ic-shard	6a092da30	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/shard_772c31dcb41a1625bf1c69832628722958752cb9_1	/home/reyerchu/vibe-ic-shard	772c31dcb	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/shard_8172cb0b675051e6e8122a5cc6a3e0dc9ebf64c6_1	/home/reyerchu/vibe-ic-shard	8172cb0b6	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/shard_9a6c0f0b034ea9d73bc4bc6c661aae7b87fa6f0d_1	/home/reyerchu/vibe-ic-shard	9a6c0f0b0	(detached)	KEEP	KEEP_NOVEL_CONTENT	635	2	2	no
108	/tmp/shard_b486b862c7a0eb1eb4354b7b6bd4c8cf7dea5740_1	/home/reyerchu/vibe-ic-shard	b486b862c	(detached)	KEEP	KEEP_NOVEL_CONTENT	23	20	16	no
108	/tmp/shard_c5d7f2d00e1df23c35a8e289bc1dc3d29b62eee9_1	/home/reyerchu/vibe-ic-shard	c5d7f2d00	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/shard_c8c2ab0f750efe97b5804f1bf41c279d28e4d2e5_1	/home/reyerchu/vibe-ic-shard	c8c2ab0f7	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/shard_e20d37fd49abd4775ddd7b32450c9226847f91cb_1	/home/reyerchu/vibe-ic-shard	e20d37fd4	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/shard_ee849c19e4208b0c2e22795b9a02a5d08210c270_1	/home/reyerchu/vibe-ic-shard	ee849c19e	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/tmp/sp_ee849c19e	/home/reyerchu/vibe-ic-shard	ee849c19e	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/home/reyerchu/.claude/plugins/marketplaces/vibe-ic-marketplace	/home/reyerchu/.claude/plugins/marketplaces/vibe-ic-marketplace	74ac9fa78	main	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/home/reyerchu/jf-63x8-work/base-mml	/home/reyerchu/vibe-ic	3ab7fc723	jmatrix/63x8-main-reds	KEEP	KEEP_NOVEL_CONTENT	9	9	9	no
108	/home/reyerchu/jf-63x8-work/mut-arm	/home/reyerchu/vibe-ic	3ab7fc723	jmatrix/63x8-main-reds	KEEP	KEEP_NOVEL_CONTENT	9	9	9	no
108	/home/reyerchu/jf-63x8-work/revert1	/home/reyerchu/vibe-ic	78ffef90a	jfindings/63x8-remaining	KEEP	KEEP_NOVEL_CONTENT	9	2	2	no
108	/home/reyerchu/jf-63x8-work/revert2	/home/reyerchu/vibe-ic	78ffef90a	jfindings/63x8-remaining	KEEP	KEEP_NOVEL_CONTENT	9	2	2	no
108	/home/reyerchu/jf-63x8-work/revert3	/home/reyerchu/vibe-ic	78ffef90a	jfindings/63x8-remaining	KEEP	KEEP_NOVEL_CONTENT	9	2	2	no
108	/home/reyerchu/jf-63x8-work/revert4	/home/reyerchu/vibe-ic	78ffef90a	jfindings/63x8-remaining	KEEP	KEEP_NOVEL_CONTENT	9	2	2	no
108	/home/reyerchu/jf-63x8-work/revert5	/home/reyerchu/vibe-ic	78ffef90a	jfindings/63x8-remaining	KEEP	KEEP_NOVEL_CONTENT	9	2	2	no
108	/home/reyerchu/jf-63x8-work/revert6	/home/reyerchu/vibe-ic	78ffef90a	jfindings/63x8-remaining	KEEP	KEEP_NOVEL_CONTENT	9	2	2	no
108	/home/reyerchu/jf-63x8-work/revert-b	/home/reyerchu/vibe-ic	ec46ce1e6	jfindings/63x8-producer-identity	KEEP	KEEP_NOVEL_CONTENT	13	3	1	no
108	/home/reyerchu/_jppa_power/base	/home/reyerchu/_jppa_power/tree	867de4289	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/home/reyerchu/_jppa_power/tree	/home/reyerchu/_jppa_power/tree	8b6c27385	jppa-power	KEEP	KEEP_NOVEL_CONTENT	5	1	1	no
108	/home/reyerchu/wt/b68-base-hy	/home/reyerchu/vibe-ic	a00f53f20	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	yes
108	/home/reyerchu/wt/b68-base-py	/home/reyerchu/vibe-ic	a00f53f20	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	yes
108	/home/reyerchu/wt/b68-head-hy	/home/reyerchu/vibe-ic	37769d59e	(detached)	KEEP	KEEP_NOVEL_CONTENT	48	48	48	yes
108	/home/reyerchu/wt/b68-head-py	/home/reyerchu/vibe-ic	37769d59e	(detached)	KEEP	KEEP_NOVEL_CONTENT	48	48	48	yes
108	/home/reyerchu/wt/b68-head-vfy	/home/reyerchu/vibe-ic	3c3c51aee	(detached)	KEEP	KEEP_NOVEL_CONTENT	48	48	48	yes
108	/home/reyerchu/wt-j63x8c	/home/reyerchu/vibe-ic	3ab7fc723	jmatrix/63x8-main-reds	KEEP	KEEP_NOVEL_CONTENT	9	9	9	yes
108	/tmp/codex-fixall.m9SimJ/repo	/tmp/codex-fixall.m9SimJ/repo	66f381776	(detached)	KEEP	KEEP_NOVEL_SEPARATE_HISTORY	41	18	15	no
108	/home/reyerchu/gkaudit_mainck	/home/reyerchu/gkaudit_mainck	ef4e6bcc4	(detached)	DROP	DROP_TREE_IS_A_TREE_MAIN_PUBLISHED	0	0	0	no
